Movie_Title,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
Code of Silence,/Code-of-Silence.html,14,9,2,0,4,9,0,0,0,1,0,18275
Cold Mountain,/Cold-Mountain.html,6,0,8,1,3,3,0,0,0,3,0,30702
Collateral Damage,/Collateral-Damage.html,12,3,0,5,3,2,0,0,0,2,0,29986
Colombiana,/Colombiana.html,6,11,0,8,1,5,0,0,0,2,0,26024
Color of Night,/Color-of-Night.html,19,21,3,6,5,2,3,0,2,3,0,28988
Commando,/Commando.html,6,7,0,0,4,1,0,0,0,0,0,17305
Conan the Barbarian,/Conan-the-Barbarian.html,1,0,1,0,0,1,0,0,0,0,0,23744
Confessions of a Dangerous Mind,/Confessions-of-a-Dangerous-Mind.html,9,35,4,2,7,7,15,3,1,0,0,24953
Confidence,/Confidence.html,26,12,0,2,7,8,4,1,0,1,0,25206
Constantine,/Constantine.html,17,0,5,2,2,5,0,0,0,2,0,24834
"Cooler, The","/Cooler,-The.html",16,27,1,3,0,4,2,0,0,1,0,21637
Copycat,/Copycat.html,6,10,9,11,2,6,0,1,0,6,0,31558
Coraline,/Coraline.html,0,0,0,0,0,0,0,0,0,0,0,24952
Coriolanus,/Coriolanus.html,0,0,0,0,0,0,0,0,0,0,0,21087
Courage Under Fire,/Courage-Under-Fire.html,0,0,0,0,0,0,0,0,0,0,0,22
Cowboys & Aliens,/Cowboys-&-Aliens.html,19,2,26,1,2,8,0,0,2,3,0,28012
Cradle 2 the Grave,/Cradle-2-the-Grave.html,20,10,0,5,1,7,0,0,0,0,0,18953
Crank,/Crank.html,40,8,4,15,8,16,1,0,0,2,0,22657
Crash,/Crash.html,0,1,0,1,0,0,0,0,0,2,0,17357
"Crazy, Stupid, Love","/Crazy,-Stupid,-Love.html",10,1,3,2,10,3,2,0,0,2,0,21539
Crazylove,/Crazylove.html,1,5,3,2,0,1,0,0,1,0,0,21799
Creation,/Creation.html,3,0,2,0,0,0,0,0,0,0,2,19578
Crime Spree,/Crime-Spree.html,11,10,2,1,1,8,2,0,0,1,0,25250
"Croods, The","/Croods,-The.html",0,0,0,0,0,0,0,0,0,0,0,17158
"Crouching Tiger, Hidden Dragon","/Crouching-Tiger,-Hidden-Dragon.html",0,0,0,0,0,0,0,0,0,0,0,11938
Croupier,/Croupier.html,10,9,0,2,0,0,0,0,0,1,0,19421
"Crow Salvation, The","/Crow-Salvation,-The.html",11,11,1,2,2,2,0,0,0,0,0,21755
"Crow, The","/Crow,-The.html",16,11,2,4,1,13,2,0,0,0,0,22393
Cruel Intentions,/Cruel-Intentions.html,16,12,0,5,1,9,1,1,1,1,1,18476
Crying Game,/Crying-Game.html,3,40,0,7,0,2,1,0,0,3,0,16016
Cube,/Cube.html,1,7,0,1,0,1,0,0,0,0,0,8866
"Curious Case of Benjamin Button, The","/Curious-Case-of-Benjamin-Button,-The.html",6,0,1,0,0,4,1,0,0,4,0,41851
Custody,/Custody.html,2,0,0,1,1,2,0,0,0,0,0,15628
Dallas Buyers Club,/Dallas-Buyers-Club.html,31,27,5,3,1,10,1,4,2,0,0,22128
"Damned United, The","/Damned-United,-The.html",0,8,0,0,0,0,0,0,0,3,0,21381
Dances with Wolves,/Dances-with-Wolves.html,0,0,4,1,0,3,0,0,0,2,0,37121
Dark City,/Dark-City.html,4,0,6,0,0,0,0,0,0,1,0,27401
"Dark Knight Rises, The","/Dark-Knight-Rises,-The.html",0,0,1,3,0,1,0,0,0,1,0,30052
Dark Star,/Dark-Star.html,1,1,2,0,0,0,0,0,0,0,0,6914
Darkman,/Darkman.html,2,3,1,4,1,4,0,0,0,1,0,27215
Date Night,/Date-Night.html,9,1,1,3,1,1,0,0,0,0,0,21886
Dave Barry's Complete Guide to Guys,/Dave-Barry's-Complete-Guide-to-Guys.html,9,0,0,0,0,2,0,0,0,1,0,18602
Dawn of the Dead,/Dawn-of-the-Dead.html,13,0,9,2,0,7,1,0,0,3,0,41562
Day of the Dead,/Day-of-the-Dead.html,14,4,7,0,0,13,0,0,0,2,0,28403
"Day the Clown Cried, The","/Day-the-Clown-Cried,-The.html",0,0,6,0,0,2,0,0,0,1,0,35904
"Day the Earth Stood Still, The","/Day-the-Earth-Stood-Still,-The.html",0,0,0,0,0,0,0,0,0,0,0,27520
Days of Heaven,/Days-of-Heaven.html,5,0,0,0,0,1,0,2,0,2,0,30120
Dead Poets Society,/Dead-Poets-Society.html,2,0,4,0,0,1,0,0,0,1,0,20860
Deadpool,/Deadpool.html,23,21,0,2,3,5,1,0,1,0,2,27974
Dear White People,/Dear-White-People.html,15,15,7,7,0,8,3,0,1,0,0,22030
