,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
102,Bad Teacher,0.56,R,24 Jun 2011,92 min,"Comedy, Romance",/Bad-Teacher.html,10.0,15.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,21724.0
103,Badlands,0.79,PG,05 Jan 1974,94 min,"Crime, Drama",/Badlands.html,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14790.0
104,Bamboozled,0.65,R,20 Oct 2000,135 min,"Comedy, Drama, Music",/Bamboozled.html,1.0,1.0,9.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,24967.0
105,Barry Lyndon,0.81,PG,18 Dec 1975,185 min,"Adventure, Drama, History, War",/Barry-Lyndon.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33449.0
106,Barton Fink,0.77,R,21 Aug 1991,116 min,"Comedy, Drama, Thriller",/Barton-Fink.html,4.0,1.0,6.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,22274.0
107,Basic,0.65,R,28 Mar 2003,98 min,"Action, Crime, Drama, Mystery, Thriller",/Basic.html,10.0,33.0,1.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,22961.0
108,Basic Instinct,0.69,R,20 Mar 1992,127 min,"Drama, Mystery, Thriller",/Basic-Instinct.html,2.0,20.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,20608.0
109,Basquiat,0.69,R,09 Aug 1996,107 min,"Biography, Drama",/Basquiat.html,13.0,10.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,19459.0
110,Batman,0.75,PG-13,23 Jun 1989,126 min,"Action, Adventure",/Batman.html,6.0,1.0,0.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,32586.0
111,Laguna Beach: The Real Orange County,0.48,N/A,28 Sep 2004,30 min,"Drama, Reality-TV",,,,,,,,,,,,,
112,Bean,0.64,PG-13,07 Nov 1997,89 min,"Adventure, Comedy, Family",/Bean.html,1.0,0.0,9.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,29971.0
113,Beasts of No Nation,0.78,NOT RATED,16 Oct 2015,137 min,"Drama, War",/Beasts-of-No-Nation.html,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25506.0
114,Beasts of the Southern Wild,0.73,PG-13,05 Jul 2012,93 min,"Adventure, Drama, Fantasy",/Beasts-of-the-Southern-Wild.html,2.0,1.0,5.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,16335.0
115,Beauty and the Beast,0.8,G,22 Nov 1991,84 min,"Animation, Family, Fantasy, Musical, Romance",/Beauty-and-the-Beast.html,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,23948.0
116,Beavis and Butt-Head Do America,0.68,PG-13,20 Dec 1996,81 min,"Animation, Adventure, Comedy, Crime, Music",,,,,,,,,,,,,
117,Beginners,0.72,R,09 Jun 2011,105 min,"Comedy, Drama, Romance",/Beginners.html,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18842.0
118,Being Human,0.75,TV-14,17 Jan 2011,44 min,"Drama, Fantasy, Horror",/Being-Human.html,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40255.0
