,Unnamed: 0,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words,total_bad_words,Runtime_minutes,bad_word_frequency,Year
765,765,St. Elmo's Fire,0.64,R,28 Jun 1985,110 min,"Drama, Romance",/St.-Elmo's-Fire.html,15.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22465.0,23.0,110.0,4.78,1985
766,766,Star Trek,0.8,PG-13,08 May 2009,127 min,"Action, Adventure, Sci-Fi",/Star-Trek.html,11.0,3.0,12.0,2.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,33222.0,38.0,127.0,3.34,2009
767,767,Starman,0.7,PG,14 Dec 1984,115 min,"Romance, Sci-Fi",/Starman.html,9.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,30391.0,18.0,115.0,6.39,1984
768,768,Starship Troopers,0.72,R,07 Nov 1997,129 min,"Action, Adventure, Sci-Fi, Thriller",/Starship-Troopers.html,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24285.0,4.0,129.0,32.25,1997
769,769,State and Main,0.68,R,12 Jan 2001,105 min,"Comedy, Drama",/State-and-Main.html,2.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,22953.0,13.0,105.0,8.08,2001
770,770,Station West,0.67,APPROVED,16 Oct 1948,87 min,"Action, Mystery, Romance",/Station-West.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25705.0,0.0,87.0,inf,1948
771,771,Stepmom,0.67,PG-13,25 Dec 1998,125 min,"Comedy, Drama",/Stepmom.html,7.0,4.0,5.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,28482.0,26.0,125.0,4.81,1998
773,773,Stir of Echoes,0.7,R,10 Sep 1999,99 min,"Horror, Mystery, Thriller",/Stir-of-Echoes.html,10.0,11.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,26515.0,35.0,99.0,2.83,1999
774,774,Storytelling,0.69,R,08 Nov 2001,87 min,"Comedy, Drama, Romance",/Storytelling.html,5.0,19.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9125.0,29.0,87.0,3.0,2001
775,775,Straight Outta Compton,0.79,R,14 Aug 2015,147 min,"Biography, Drama, History, Music",/Straight-Outta-Compton.html,150.0,96.0,20.0,6.0,2.0,35.0,4.0,7.0,0.0,11.0,0.0,33230.0,331.0,147.0,0.44,2015
